id,filename,repository,categories,status,confidence,related_repositories,related_artifacts_note
23,"event-library.md","current-repo","Agents;Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
24,"ga4-implementation.md","current-repo","Agents;Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
25,"gtm-implementation.md","current-repo","Agents;Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
26,"SKILL.md","current-repo","Agents;Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
27,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
28,"apple-specs.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
29,"benchmarks.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
30,"google-play-specs.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
31,"report-template.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
32,"scoring-criteria.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
33,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
34,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
35,"cancel-flow-patterns.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
36,"dunning-playbook.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
37,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
38,"evals.json","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
39,"SKILL.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
40,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
41,"benchmarks.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
42,"follow-up-sequences.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
43,"frameworks.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
44,"personalization.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
45,"subject-lines.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
46,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
47,"evals.json","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
48,"SKILL.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
49,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
50,"templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
51,"tool-reference.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
52,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
53,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
54,"content-architecture.md","current-repo","Architecture;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
55,"templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
56,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
57,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
58,"headless-cms.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
59,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
60,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
61,"checklist.md","current-repo","Agents;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
62,"content-refresh.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
63,"plain-english-alternatives.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
64,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
65,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
66,"copy-frameworks.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
67,"natural-transitions.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
68,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
69,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
70,"experiments.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
71,"form.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
72,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
73,"evals.json","current-repo","Agents;Research","Active","medium-high (filename/path keyword match, content not read)","",""
74,"source-guides.md","current-repo","Agents;Research;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
75,"SKILL.md","current-repo","Agents;Research","Active","medium-high (filename/path keyword match, content not read)","",""
76,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
77,"directory-list.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
78,"positioning-variations.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
79,"submission-tracker-template.csv","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
80,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
81,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
82,"copy-guidelines.md","current-repo","Agents;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
83,"email-types.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
84,"sequence-templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
85,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
86,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
87,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
88,"tool-types.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
89,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
90,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
91,"ai-image-prompting.md","current-repo","AI;Prompt Engineering;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
92,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
93,"audio.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
94,"chat-completions.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
95,"embeddings-and-rag.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
96,"image-generation.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
97,"models-list.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
98,"overview.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
99,"video-generation.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
100,"sdk-integration.md","current-repo","Security;Authentication;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
101,"ssr-integration.md","current-repo","Security;Authentication;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
102,"sdk-integration.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
103,"sdk-integration.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
104,"sdk-integration.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
105,"razorpay.md","current-repo","Agents;Payments","Active","medium-high (filename/path keyword match, content not read)","",""
106,"stripe.md","current-repo","Agents;Payments","Active","medium-high (filename/path keyword match, content not read)","",""
107,"sdk-integration.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
108,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
109,"postgres-rls.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
110,"s3-gateway.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
111,"sdk-integration.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
112,"auth.md","current-repo","Security;Authentication;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
113,"merge.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
114,"overview.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
115,"reset.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
116,"compute-deploy.md","current-repo","Deployment;Infrastructure;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
117,"config.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
118,"create.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
119,"access-control.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
120,"export.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
121,"import.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
122,"integrity.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
123,"migrations.md","current-repo","SQL Migration;Implementation Plan;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
124,"query.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
125,"vector.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
126,"deploy.md","current-repo","Deployment;Infrastructure;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
127,"domains.md","current-repo","Deployment;Infrastructure;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
128,"diagnostics.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
129,"functions-deploy.md","current-repo","Deployment;Infrastructure;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
130,"login.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
131,"overview.md","current-repo","Agents;Payments","Active","medium-high (filename/path keyword match, content not read)","",""
132,"razorpay.md","current-repo","Agents;Payments","Active","medium-high (filename/path keyword match, content not read)","",""
133,"stripe.md","current-repo","Agents;Payments","Active","medium-high (filename/path keyword match, content not read)","",""
134,"posthog.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
135,"realtime.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
136,"schedules.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
137,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
138,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
139,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
140,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
141,"benchmarks.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
142,"format-guide.md","current-repo","Agents;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
143,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
144,"evals.json","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
145,"ideas-by-category.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
146,"SKILL.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
147,"evals.json","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
148,"aarrr-framework.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
149,"budget-planning.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
150,"client-types.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
151,"current-state-rubric.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
152,"example-quietude.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
153,"funding-stage-unlocks.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
154,"growth-patterns.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
155,"idea-cross-reference.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
156,"measurement-framework.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
157,"methodology.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
158,"ops-stack-mapping.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
159,"plan-template.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
160,"team-and-agency-model.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
161,"SKILL.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
162,"evals.json","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
163,"SKILL.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
164,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
165,"experiments.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
166,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
167,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
168,"experiments.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
169,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
170,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
171,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
172,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
173,"research-methods.md","current-repo","Agents;Research","Active","medium-high (filename/path keyword match, content not read)","",""
174,"tier-structure.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
175,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
176,"evals.json","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
177,"SKILL.md","current-repo","Agents;Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
178,"evals.json","current-repo","Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
179,"playbooks.md","current-repo","Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
180,"SKILL.md","current-repo","Agents;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
181,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
182,"b2b-prospecting.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
183,"compliance.md","current-repo","Agents;Compliance","Active","medium-high (filename/path keyword match, content not read)","",""
184,"data-sources.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
185,"local-prospecting.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
186,"saas-prospecting.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
187,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
188,"journalist-pitching.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
189,"media-outlets.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
190,"newsjacking.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
191,"press-platforms.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
192,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
193,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
194,"affiliate-programs.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
195,"program-examples.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
196,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
197,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
198,"automation-playbooks.md","current-repo","Automation;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
199,"lifecycle-definitions.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
200,"routing-rules.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
201,"scoring-models.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
202,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
203,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
204,"deck-frameworks.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
205,"demo-scripts.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
206,"objection-library.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
207,"one-pager-templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
208,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
209,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
210,"schema-examples.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
211,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
212,"evals.json","current-repo","Agents;SEO;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
213,"ai-writing-detection.md","current-repo","AI;Agents;SEO;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
214,"international-seo.md","current-repo","Agents;SEO;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
215,"SKILL.md","current-repo","Agents;SEO;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
216,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
217,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
218,"evals.json","current-repo","Architecture;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
219,"mermaid-templates.md","current-repo","Architecture;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
220,"navigation-patterns.md","current-repo","Architecture;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
221,"site-type-templates.md","current-repo","Architecture;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
222,"SKILL.md","current-repo","Architecture;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
223,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
224,"compliance.md","current-repo","Agents;Compliance","Active","medium-high (filename/path keyword match, content not read)","",""
225,"platforms.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
226,"sequence-templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
227,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
228,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
229,"listening-sources-template.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
230,"listening.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
231,"platform-limits.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
232,"platforms.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
233,"post-templates.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
234,"reverse-engineering.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
235,"short-form-video.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
236,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
237,"evals.json","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
238,"ai-video-prompting.md","current-repo","AI;Prompt Engineering;Agents","Active","medium-high (filename/path keyword match, content not read)","",""
239,"SKILL.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
240,".aider.chat.history.md","current-repo","Conversation Archive","Active","medium-high (filename/path keyword match, content not read)","",""
241,"MEMORY.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
242,"bell24h-debugger.md","current-repo","Agents","Active","medium-high (filename/path keyword match, content not read)","",""
243,"vyaparsethu-studio.md","current-repo","Unknown","Active","low","",""
244,"settings.local.json","current-repo","Unknown","Active","low","",""
245,"evals.json","current-repo","Testing;QA","Active","medium-high (filename/path keyword match, content not read)","",""
246,"sample-size-guide.md","current-repo","Testing;QA;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
247,"test-templates.md","current-repo","Testing;QA","Active","medium-high (filename/path keyword match, content not read)","",""
248,"SKILL.md","current-repo","Testing;QA","Active","medium-high (filename/path keyword match, content not read)","",""
249,"evals.json","current-repo","Unknown","Active","low","",""
250,"generative-tools.md","current-repo","Unknown","Active","low","",""
251,"platform-specs.md","current-repo","Unknown","Active","low","",""
252,"SKILL.md","current-repo","Unknown","Active","low","",""
253,"evals.json","current-repo","Unknown","Active","low","",""
254,"ad-copy-templates.md","current-repo","Unknown","Active","low","",""
255,"audience-targeting.md","current-repo","Unknown","Active","low","",""
256,"conversion-tracking.md","current-repo","Unknown","Active","low","",""
257,"platform-setup-checklists.md","current-repo","Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
258,"SKILL.md","current-repo","Unknown","Active","low","",""
259,"evals.json","current-repo","AI;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
260,"content-patterns.md","current-repo","AI;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
261,"content-types.md","current-repo","AI;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
262,"okf.md","current-repo","AI;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
263,"platform-ranking-factors.md","current-repo","AI;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
264,"SKILL.md","current-repo","AI;SEO","Active","medium-high (filename/path keyword match, content not read)","",""
265,"evals.json","current-repo","Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
266,"event-library.md","current-repo","Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
267,"ga4-implementation.md","current-repo","Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
268,"gtm-implementation.md","current-repo","Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
269,"SKILL.md","current-repo","Analytics","Active","medium-high (filename/path keyword match, content not read)","",""
270,"evals.json","current-repo","Unknown","Active","low","",""
271,"apple-specs.md","current-repo","Unknown","Active","low","",""
272,"benchmarks.md","current-repo","Unknown","Active","low","",""
273,"google-play-specs.md","current-repo","Unknown","Active","low","",""
274,"report-template.md","current-repo","Unknown","Active","low","",""
275,"scoring-criteria.md","current-repo","Unknown","Active","low","",""
276,"SKILL.md","current-repo","Unknown","Active","low","",""
277,"evals.json","current-repo","Unknown","Active","low","",""
278,"cancel-flow-patterns.md","current-repo","Unknown","Active","low","",""
279,"dunning-playbook.md","current-repo","Unknown","Active","low","",""
280,"SKILL.md","current-repo","Unknown","Active","low","",""
281,"evals.json","current-repo","Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
282,"SKILL.md","current-repo","Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
283,"evals.json","current-repo","Unknown","Active","low","",""
284,"benchmarks.md","current-repo","Unknown","Active","low","",""
285,"follow-up-sequences.md","current-repo","Unknown","Active","low","",""
286,"frameworks.md","current-repo","Unknown","Active","low","",""
287,"personalization.md","current-repo","Unknown","Active","low","",""
288,"subject-lines.md","current-repo","Unknown","Active","low","",""
289,"SKILL.md","current-repo","Unknown","Active","low","",""
290,"evals.json","current-repo","Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
291,"SKILL.md","current-repo","Marketing","Active","medium-high (filename/path keyword match, content not read)","",""
292,"evals.json","current-repo","Unknown","Active","low","",""
293,"templates.md","current-repo","Unknown","Active","low","",""
294,"tool-reference.md","current-repo","Unknown","Active","low","",""
295,"SKILL.md","current-repo","Unknown","Active","low","",""
296,"evals.json","current-repo","Unknown","Active","low","",""
297,"content-architecture.md","current-repo","Architecture","Active","medium-high (filename/path keyword match, content not read)","",""
298,"templates.md","current-repo","Unknown","Active","low","",""
299,"SKILL.md","current-repo","Unknown","Active","low","",""
300,"evals.json","current-repo","Unknown","Active","low","",""
301,"headless-cms.md","current-repo","Unknown","Active","low","",""
302,"SKILL.md","current-repo","Unknown","Active","low","",""
303,"evals.json","current-repo","Unknown","Active","low","",""
304,"checklist.md","current-repo","Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
305,"content-refresh.md","current-repo","Unknown","Active","low","",""
306,"plain-english-alternatives.md","current-repo","Unknown","Active","low","",""
307,"SKILL.md","current-repo","Unknown","Active","low","",""
308,"evals.json","current-repo","Unknown","Active","low","",""
309,"copy-frameworks.md","current-repo","Unknown","Active","low","",""
310,"natural-transitions.md","current-repo","Unknown","Active","low","",""
311,"SKILL.md","current-repo","Unknown","Active","low","",""
312,"evals.json","current-repo","Unknown","Active","low","",""
313,"experiments.md","current-repo","Unknown","Active","low","",""
314,"form.md","current-repo","Unknown","Active","low","",""
315,"SKILL.md","current-repo","Unknown","Active","low","",""
316,"evals.json","current-repo","Research","Active","medium-high (filename/path keyword match, content not read)","",""
317,"source-guides.md","current-repo","Research;Documentation","Active","medium-high (filename/path keyword match, content not read)","",""
318,"SKILL.md","current-repo","Research","Active","medium-high (filename/path keyword match, content not read)","",""
319,"evals.json","current-repo","Unknown","Active","low","",""
320,"directory-list.md","current-repo","Unknown","Active","low","",""
321,"positioning-variations.md","current-repo","Unknown","Active","low","",""
322,"submission-tracker-template.csv","current-repo","Unknown","Active","low","",""
